drug_cd,제품명,성분 1,성분 2,내용
2021082400002,,Acetaminophen,Fosphenytoin Sodium,"NSAIDs(Acetaminophen)/Hydantoins 임상효과 : 만성적인 용량의 히단토인계 약물이 병용투여 되었을 때, 아세트아미노펜의 잠재적인 간독성 위험은 증가하고 치료효과는 감소할 수 있다. 기전 : 히단토인계 약물은 아세트아미노펜을 간독성 대사물로 대사되게하는 간효소를 유도할 수 있다. 처치 : 규칙적으로 히단토인계 약물을 복용중인 환자에게 만성적 혹은 과용량의 아세트아미노펜을 함께 투여시 간독성의 위험은 최대가 된다. 일반적으로, 치료용량의 아세트아미노펜과 히단토인계 약물의 병용은 특별한 용량조절이나 모니터링이 필요하지 않다."
2021082400002,,Acetaminophen,Glycopyrrolate,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Homatropine,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Homatropine Hydrobromide,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Homatropine Methylbromide,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Hyoscyamine,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Hyoscyamine Hydrobromide,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Hyoscyamine Sulfate Hydrate,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Isoniazid,NSAIDs(Acetaminophen)/Antituberculous Agents(Isoniazid) 임상효과 : 두 약물의 병용투여시 간독성이 보고되었다. 기전 : 정확한 상호작용 기전은 밝혀지지 않았다. 처치 : 두 약물의 병용투여는 권장되지 않는다. 만약 병용투여를 피할수 없다면 환자에게 간손상의 증거가 나타나는지 주기적으로 환자의 상태를 모니터링해야 한다.
2021082400002,,Acetaminophen,Mepenzolate Bromide,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Mephenytoin,"NSAIDs(Acetaminophen)/Hydantoins 임상효과 : 만성적인 용량의 히단토인계 약물이 병용투여 되었을 때, 아세트아미노펜의 잠재적인 간독성 위험은 증가하고 치료효과는 감소할 수 있다. 기전 : 히단토인계 약물은 아세트아미노펜을 간독성 대사물로 대사되게하는 간효소를 유도할 수 있다. 처치 : 규칙적으로 히단토인계 약물을 복용중인 환자에게 만성적 혹은 과용량의 아세트아미노펜을 함께 투여시 간독성의 위험은 최대가 된다. 일반적으로, 치료용량의 아세트아미노펜과 히단토인계 약물의 병용은 특별한 용량조절이나 모니터링이 필요하지 않다."
2021082400002,,Acetaminophen,Methylatropine Bromide,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Methylatropine Nitrate,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Methylphenobarbital,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Orphenadrine Citrate,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Orphenadrine Hydrochloride,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Oxybutynin Chloride,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Pentobarbital,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Pentobarbital Calcium,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Pentobarbital Sodium,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Phenobarbital,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Phenobarbital Sodium,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Phenytoin,"NSAIDs(Acetaminophen)/Hydantoins 임상효과 : 만성적인 용량의 히단토인계 약물이 병용투여 되었을 때, 아세트아미노펜의 잠재적인 간독성 위험은 증가하고 치료효과는 감소할 수 있다. 기전 : 히단토인계 약물은 아세트아미노펜을 간독성 대사물로 대사되게하는 간효소를 유도할 수 있다. 처치 : 규칙적으로 히단토인계 약물을 복용중인 환자에게 만성적 혹은 과용량의 아세트아미노펜을 함께 투여시 간독성의 위험은 최대가 된다. 일반적으로, 치료용량의 아세트아미노펜과 히단토인계 약물의 병용은 특별한 용량조절이나 모니터링이 필요하지 않다."
2021082400002,,Acetaminophen,Phenytoin Sodium,"NSAIDs(Acetaminophen)/Hydantoins 임상효과 : 만성적인 용량의 히단토인계 약물이 병용투여 되었을 때, 아세트아미노펜의 잠재적인 간독성 위험은 증가하고 치료효과는 감소할 수 있다. 기전 : 히단토인계 약물은 아세트아미노펜을 간독성 대사물로 대사되게하는 간효소를 유도할 수 있다. 처치 : 규칙적으로 히단토인계 약물을 복용중인 환자에게 만성적 혹은 과용량의 아세트아미노펜을 함께 투여시 간독성의 위험은 최대가 된다. 일반적으로, 치료용량의 아세트아미노펜과 히단토인계 약물의 병용은 특별한 용량조절이나 모니터링이 필요하지 않다."
2021082400002,,Acetaminophen,Primidone,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Probenecid,NSAIDs(Acetaminophen)/Antigout Agents(Probenecid) 임상효과 : 두 약물의 병용투여시 프로베네시드는 아세트아미노펜의 치료 효과를 조금 증가시킬 수 있다. 기전 : 프로베네시드는 신뇨세관의 배설부위에 경쟁하여 아세트아미노펜 글루쿠론산 대사물의 요중 배설을 감소시킨다. 처치 : 상용량의 아세트아미노펜과 프로베네시드의 병용투여시에는 치료적 간섭이 특별히 필요하지 않다.
2021082400002,,Acetaminophen,Procyclidine Hydrochloride,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Propantheline Bromide,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Propranolol Hydrochloride,"NSAIDs(Acetaminophen)/Beta-Blockers(Propranolol) 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 약리학적 효과가 감소할 수 있다. 기전 : 프로프라놀롤이 아세트아미노펜의 산화 및 글루쿠론산 포합과정을 담당하고 있는 효소 시스템을 저해할 수 있다. 처치 : 최근 발표된 자료에 따르면, 특별한 주의사항은 필요하지 않다."
2021082400002,,Acetaminophen,Rifabutin,"NSAIDs(Acetaminophen)/Rifamycins 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 해열, 진통효과는 감소되고, 독성은 증강될 수 있다. 기전 : 리파마이신계 약물은 아세트아미노펜을 잠재적인 간독성 대사물로 대사되게하는 간효소를 유도할 수 있다. 처치 : 두 약물의 병용투여시에는 관찰을 충분히 하고 신중히 투여해야 하며, 주기적으로 환자의 간독성에 대한 모니터링을 자세히 해야 한다. 규칙적으로 리파마이신계 약물을 복용중인 환자에게 과용량의 아세트아미노펜을 함께 투여시 독성의 위험은 극대화 되며, 보통 치료용량에서의 위험성은 보고되지 않았다."
